sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
akcvs,,Default,simple,"Global Store CN,Global Store CN/At Home",gs_cn,"Pesto - Primerba, Paste","<p>Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.</p><p>Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.</p>",,,1,"Taxable Goods","Catalog, Search",43.9700,,,,pesto-primerba-paste,"Pesto - Primerba, Paste","Pesto - Primerba, Paste","Pesto - Primerba, Paste",/h/t/httpvia.placeholder.com223x203ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com223x203ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com223x203ff4444ffffff.jpg,,/h/t/httpvia.placeholder.com223x203ff4444ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Poland,,867.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com223x203ff4444ffffff.jpg,,,,,,,,,,,,
ragjz,,Default,simple,"Global Store AU,Global Store AU/At Home",gs_au,"Tortillas - Flour, 12","<p>Fusce consequat. Nulla nisl. Nunc nisl.</p><p>Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.</p><p>In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.</p>",,,1,"Taxable Goods","Catalog, Search",94.1200,,,,tortillas-flour-12,"Tortillas - Flour, 12","Tortillas - Flour, 12","Tortillas - Flour, 12",/h/t/httpvia.placeholder.com204x210cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com204x210cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com204x210cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com204x210cc0000ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Colombia,,692.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com204x210cc0000ffffff.jpg,,,,,,,,,,,,
oxlci,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Miso Paste White","<p>Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.</p><p>Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.</p><p>Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.</p>",,,1,"Taxable Goods","Catalog, Search",549.3300,,,,miso-paste-white,"Miso Paste White","Miso Paste White","Miso Paste White",/h/t/httpvia.placeholder.com210x240cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com210x240cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com210x240cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com210x240cc0000ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",China,,300.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com210x240cc0000ffffff.jpg,,,,,,,,,,,,
tebah,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Potato - Sweet","<p>Fusce consequat. Nulla nisl. Nunc nisl.</p><p>Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.</p><p>In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.</p><p>Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.</p>",,,1,"Taxable Goods","Catalog, Search",53.2900,,,,potato-sweet,"Potato - Sweet","Potato - Sweet","Potato - Sweet",/h/t/httpvia.placeholder.com298x2325fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com298x2325fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com298x2325fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com298x2325fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Brazil,,518.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com298x2325fa2ddffffff.jpg,,,,,,,,,,,,
xdwtl,,Default,simple,"Global Store GB,Global Store GB/At Home",gs_gb,"Numi - Assorted Teas","<p>Phasellus in felis. Donec semper sapien a libero. Nam dui.</p><p>Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.</p><p>Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.</p>",,,1,"Taxable Goods","Catalog, Search",626.2600,,,,numi-assorted-teas,"Numi - Assorted Teas","Numi - Assorted Teas","Numi - Assorted Teas",/h/t/httpvia.placeholder.com245x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com245x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com245x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com245x203dddddd000000.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Cyprus,,166.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com245x203dddddd000000.jpg,,,,,,,,,,,,
chavd,,Default,simple,"Global Store PH,Global Store US/At Home",gs_us,"Seedlings - Clamshell","<p>Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.</p><p>Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.</p><p>Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.</p><p>Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.</p>",,,1,"Taxable Goods","Catalog, Search",475.4900,,,,seedlings-clamshell,"Seedlings - Clamshell","Seedlings - Clamshell","Seedlings - Clamshell",/h/t/httpvia.placeholder.com271x2205fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com271x2205fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com271x2205fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com271x2205fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Portugal,,303.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com271x2205fa2ddffffff.jpg,,,,,,,,,,,,
ulgmi,,Default,simple,"Global Store AU,Global Store AU/At Home",gs_au,"Wine - White, Chardonnay","<p>Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.</p><p>Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.</p>",,,1,"Taxable Goods","Catalog, Search",590.2800,,,,wine-white-chardonnay,"Wine - White, Chardonnay","Wine - White, Chardonnay","Wine - White, Chardonnay",/h/t/httpvia.placeholder.com259x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com259x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com259x203dddddd000000.jpg,,/h/t/httpvia.placeholder.com259x203dddddd000000.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Portugal,,922.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com259x203dddddd000000.jpg,,,,,,,,,,,,
yctac,,Default,simple,"Global Store PH,Global Store PH/At Home",gs_ph,"Island Oasis - Banana Daiquiri","<p>Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.</p><p>Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.</p><p>Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.</p>",,,1,"Taxable Goods","Catalog, Search",659.9500,,,,island-oasis-banana-daiquiri,"Island Oasis - Banana Daiquiri","Island Oasis - Banana Daiquiri","Island Oasis - Banana Daiquiri",/h/t/httpvia.placeholder.com235x213cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com235x213cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com235x213cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com235x213cc0000ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Sweden,,958.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com235x213cc0000ffffff.jpg,,,,,,,,,,,,
hgurm,,Default,simple,"Global Store PH,Global Store PH/At Home",gs_ph,"Sugar - Icing","<p>In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.</p><p>Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.</p>",,,1,"Taxable Goods","Catalog, Search",804.0500,,,,sugar-icing,"Sugar - Icing","Sugar - Icing","Sugar - Icing",/h/t/httpvia.placeholder.com233x2545fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com233x2545fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com233x2545fa2ddffffff.jpg,,/h/t/httpvia.placeholder.com233x2545fa2ddffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Norway,,678.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com233x2545fa2ddffffff.jpg,,,,,,,,,,,,
aiqcz,,Default,simple,"Global Store CN,Global Store CN/At Home",gs_cn,"Jam - Raspberry","<p>Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.</p><p>Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.</p>",,,1,"Taxable Goods","Catalog, Search",396.2800,,,,jam-raspberry,"Jam - Raspberry","Jam - Raspberry","Jam - Raspberry",/h/t/httpvia.placeholder.com266x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com266x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com266x208cc0000ffffff.jpg,,/h/t/httpvia.placeholder.com266x208cc0000ffffff.jpg,,"3/2/18, 12:20 AM","3/2/18, 12:20 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Nigeria,,303.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/h/t/httpvia.placeholder.com266x208cc0000ffffff.jpg,,,,,,,,,,,,
